fuel_type,fuel_class,plot_id,time,value_norm,si_value,si_units,us_value,us_units,lab_fuel,lab_class,lab_time,lab_time_abbr,order_class,order_time,subset_by,metric
dl,duff,RxF01,2016,0.3308725717264192,2.8575,Depth in centimeters,1.125,Depth in inches,Duff & litter,Duff,1 Year pre-fire (2016),1-y pre-fire (2016),1,1,type_class_time_plot,mean
dl,duff,RxF01,2017,-0.7188680528227157,0.79375,Depth in centimeters,0.3125,Depth in inches,Duff & litter,Duff,0 Years post-fire (2017),0-y post-fire (2017),1,2,type_class_time_plot,mean
dl,duff,RxF01,2019,-0.7961825717773924,0.6032500000000001,Depth in centimeters,0.2375,Depth in inches,Duff & litter,Duff,2 Years post-fire (2019),2-y post-fire (2019),1,3,type_class_time_plot,mean
dl,duff,RxF01,2021,-1.2454593116582777,0.254,Depth in centimeters,0.1,Depth in inches,Duff & litter,Duff,4 Years post-fire (2021),4-y post-fire (2021),1,4,type_class_time_plot,mean
dl,duff,RxF02,2016,0.6744897501960817,3.96875,Depth in centimeters,1.5625,Depth in inches,Duff & litter,Duff,1 Year pre-fire (2016),1-y pre-fire (2016),1,1,type_class_time_plot,mean
dl,duff,RxF02,2017,-0.2822161470625081,1.27,Depth in centimeters,0.5,Depth in inches,Duff & litter,Duff,0 Years post-fire (2017),0-y post-fire (2017),1,2,type_class_time_plot,mean
dl,duff,RxF02,2019,-1.9145058250555569,0.0635,Depth in centimeters,0.025,Depth in inches,Duff & litter,Duff,2 Years post-fire (2019),2-y post-fire (2019),1,3,type_class_time_plot,mean
dl,duff,RxF02,2021,-1.2454593116582777,0.254,Depth in centimeters,0.1,Depth in inches,Duff & litter,Duff,4 Years post-fire (2021),4-y post-fire (2021),1,4,type_class_time_plot,mean
dl,duff,RxF03,2016,0.24616364666135948,2.69875,Depth in centimeters,1.0625,Depth in inches,Duff & litter,Duff,1 Year pre-fire (2016),1-y pre-fire (2016),1,1,type_class_time_plot,mean
dl,duff,RxF03,2017,-0.023211605212384894,1.74625,Depth in centimeters,0.6875,Depth in inches,Duff & litter,Duff,0 Years post-fire (2017),0-y post-fire (2017),1,2,type_class_time_plot,mean
dl,duff,RxF03,2019,-1.681877520257599,0.127,Depth in centimeters,0.05,Depth in inches,Duff & litter,Duff,2 Years post-fire (2019),2-y post-fire (2019),1,3,type_class_time_plot,mean
dl,duff,RxF03,2021,-1.044408794872596,0.28575,Depth in centimeters,0.1125,Depth in inches,Duff & litter,Duff,4 Years post-fire (2021),4-y post-fire (2021),1,4,type_class_time_plot,mean
dl,duff,RxF04,2016,0.5084880591093566,3.65125,Depth in centimeters,1.4375,Depth in inches,Duff & litter,Duff,1 Year pre-fire (2016),1-y pre-fire (2016),1,1,type_class_time_plot,mean
dl,duff,RxF04,2017,-0.355490417839531,1.23825,Depth in centimeters,0.4875,Depth in inches,Duff & litter,Duff,0 Years post-fire (2017),0-y post-fire (2017),1,2,type_class_time_plot,mean
dl,duff,RxF04,2019,-1.044408794872596,0.28575,Depth in centimeters,0.1125,Depth in inches,Duff & litter,Duff,2 Years post-fire (2019),2-y post-fire (2019),1,3,type_class_time_plot,mean
dl,duff,RxF04,2021,-0.2822161470625081,1.27,Depth in centimeters,0.5,Depth in inches,Duff & litter,Duff,4 Years post-fire (2021),4-y post-fire (2021),1,4,type_class_time_plot,mean
dl,duff,RxF05,2016,0.1749599401657325,2.54,Depth in centimeters,1,Depth in inches,Duff & litter,Duff,1 Year pre-fire (2016),1-y pre-fire (2016),1,1,type_class_time_plot,mean
dl,duff,RxF05,2017,-0.7961825717773924,0.6032500000000001,Depth in centimeters,0.2375,Depth in inches,Duff & litter,Duff,0 Years post-fire (2017),0-y post-fire (2017),1,2,type_class_time_plot,mean
dl,duff,RxF05,2019,-1.9145058250555569,0.0635,Depth in centimeters,0.025,Depth in inches,Duff & litter,Duff,2 Years post-fire (2019),2-y post-fire (2019),1,3,type_class_time_plot,mean
dl,duff,RxF05,2021,-1.2454593116582777,0.254,Depth in centimeters,0.1,Depth in inches,Duff & litter,Duff,4 Years post-fire (2021),4-y post-fire (2021),1,4,type_class_time_plot,mean
dl,duff,RxF06,2016,0.9861203186033461,5.2387500000000005,Depth in centimeters,2.0625,Depth in inches,Duff & litter,Duff,1 Year pre-fire (2016),1-y pre-fire (2016),1,1,type_class_time_plot,mean
dl,duff,RxF06,2017,-0.4953255046659132,1.11125,Depth in centimeters,0.4375,Depth in inches,Duff & litter,Duff,0 Years post-fire (2017),0-y post-fire (2017),1,2,type_class_time_plot,mean
dl,duff,RxF06,2019,-0.9132499266836087,0.4445,Depth in centimeters,0.175,Depth in inches,Duff & litter,Duff,2 Years post-fire (2019),2-y post-fire (2019),1,3,type_class_time_plot,mean
dl,duff,RxF06,2021,-1.2454593116582777,0.254,Depth in centimeters,0.1,Depth in inches,Duff & litter,Duff,4 Years post-fire (2021),4-y post-fire (2021),1,4,type_class_time_plot,mean
dl,duff,RxF07,2016,1.1503493803760079,6.032500000000001,Depth in centimeters,2.375,Depth in inches,Duff & litter,Duff,1 Year pre-fire (2016),1-y pre-fire (2016),1,1,type_class_time_plot,mean
dl,duff,RxF07,2017,-0.2822161470625081,1.27,Depth in centimeters,0.5,Depth in inches,Duff & litter,Duff,0 Years post-fire (2017),0-y post-fire (2017),1,2,type_class_time_plot,mean
dl,duff,RxF07,2019,-0.9674215661017014,0.34925,Depth in centimeters,0.1375,Depth in inches,Duff & litter,Duff,2 Years post-fire (2019),2-y post-fire (2019),1,3,type_class_time_plot,mean
dl,duff,RxF07,2021,-1.2454593116582777,0.254,Depth in centimeters,0.1,Depth in inches,Duff & litter,Duff,4 Years post-fire (2021),4-y post-fire (2021),1,4,type_class_time_plot,mean
dl,duff,RxF08,2016,0.9490550927517118,5.08,Depth in centimeters,2,Depth in inches,Duff & litter,Duff,1 Year pre-fire (2016),1-y pre-fire (2016),1,1,type_class_time_plot,mean
dl,duff,RxF08,2017,-0.6744897501960817,0.8572500000000001,Depth in centimeters,0.3375,Depth in inches,Duff & litter,Duff,0 Years post-fire (2017),0-y post-fire (2017),1,2,type_class_time_plot,mean
